"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"QUAC",127.36,69.85,90.23,46.55,10.59,36,0,0,0
"QUAR",170.1,76.8,107.02,69.6,23.65,16.89,0,0,0
"QUBO",127.29,62.43,80.85,46.26,18.49,8.8,0,0,0
"QUCA",186.77,87.19,133.61,85.85,13.38,35.17,0,0,0
"QUCE",191.98,86.86,132.83,88.13,16.85,18.57,0,0,0
"QUEN",194.4,84.59,124.87,85.35,24.4,20.79,0,0,0
"QUGE",128.9,70.5,91.57,46.57,10.35,39.84,0,0,0
"QUGR",110.14,64.07,80.27,37.98,7.63,38.35,0,0,0
"QUHA",186.86,84.77,126.53,84.14,17.86,22.13,0,0,0
"QUHI",109.28,64.47,80.33,36.89,5.96,37.56,0,0,0
"QUOG",148.74,74.67,101.49,58.09,15.31,35.09,0,0,0
"QUPA",199.8,95.72,164.43,100.6,3.42,11.05,0,0,0
