"","ï..Ind","Longitude","Latitude"
"1","QH-E-1",-102.6168513,33.37272459
"33","QH-E-2",-103.8673874,33.40776972
"59","QH-E-3",-103.3443426,33.71194101
"108","QH-E-5",-100.275868,35.90300335
"152","QH-E-6",-100.1993396,35.44525957
"230","QH-E-10",-101.3319871,32.28616841
"240","QH-E-11",-102.8129993,31.62683542
"248","QH-E-13",-101.3906003,33.45861011
"343","QH-W-1-1",-111.98501,34.72733983
"384","QH-W-2-1",-109.6179435,36.92716393
"397","QH-W-3-1",-110.1328778,36.6162311
"432","QH-W-4-1",-111.9836999,37.09570982
"466","QH-W-5-1",-111.5398813,36.7860091
"566","QH-W-8-1",-110.6018908,38.0652447
"606","QH-W-9-1",-109.5268944,38.57305879
"674","QH-W-11-1",-107.1716702,34.99828658
"695","QH-W-12-1",-105.1060839,38.50230929
